"salesperson","year","month","dept","location","units_sold","order_amount","cost"
"Emilee",2004,"August","mascara","west",190,395,300
"Cici",2006,"August","eye liner","west",414,449,408
"Cici",2005,"January","eye liner","midwest",61,413,335
"Jen",2005,"June","lip gloss","west",300,494,388
"Emilee",2005,"March","foundation","south",226,444,405
"Hallagan",2006,"July","lipstick","east",51,356,285
"Emilee",2006,"December","lip gloss","midwest",55,430,325
"Jen",2005,"July","lip gloss","midwest",178,429,317
"Betsy",2004,"September","foundation","midwest",109,461,361
"Colleen",2005,"November","mascara","west",362,613,494
"Jen",2006,"December","lipstick","west",200,564,439
"Hallagan",2005,"October","mascara","south",371,634,540
"Hallagan",2004,"November","lip gloss","east",244,566,477
"Zaret",2006,"October","eye liner","south",93,428,362
"Cici",2005,"October","mascara","midwest",42,291,251
"Hallagan",2005,"November","lip gloss","south",332,430,313
"Cristina",2005,"November","mascara","west",154,425,332
"Cici",2005,"November","lip gloss","east",118,430,286
"Jen",2005,"November","mascara","midwest",180,570,414
"Emilee",2005,"December","lipstick","west",324,572,485
"Cici",2006,"February","lip gloss","south",116,541,415
"Ashley",2005,"June","eye liner","east",20,429,374
"Cristina",2004,"October","foundation","south",84,457,335
"Cristina",2004,"February","foundation","south",353,426,338
"Hallagan",2006,"February","lip gloss","west",267,501,436
"Ashley",2004,"January","lipstick","west",230,605,535
"Cici",2006,"August","eye liner","midwest",47,439,339
"Emilee",2004,"December","foundation","west",74,487,334
"Hallagan",2006,"December","foundation","west",53,447,320
"Colleen",2005,"January","lip gloss","south",164,380,295
"Jen",2004,"March","lip gloss","midwest",125,546,455
"Emilee",2004,"November","eye liner","south",87,623,493
"Hallagan",2006,"December","eye liner","east",149,499,385
"Cici",2006,"November","foundation","east",63,455,341
"Emilee",2004,"June","eye liner","west",114,354,236
"Zaret",2006,"August","lip gloss","south",89,351,251
"Cici",2006,"June","lipstick","west",125,472,410
"Betsy",2004,"January","mascara","south",80,616,498
"Colleen",2005,"November","lipstick","west",33,609,491
"Colleen",2005,"December","mascara","west",102,401,275
"Zaret",2005,"December","foundation","south",110,480,369
"Colleen",2004,"August","mascara","south",263,548,415
"Colleen",2004,"September","foundation","east",178,442,322
"Jen",2004,"November","mascara","midwest",64,356,285
"Zaret",2005,"September","eye liner","east",62,363,328
"Betsy",2006,"August","lip gloss","south",134,408,278
"Hallagan",2005,"August","mascara","west",325,542,477
"Ashley",2006,"July","mascara","east",245,414,351
"Cristina",2005,"December","mascara","west",283,644,512
"Hallagan",2006,"November","foundation","south",194,463,378
"Cristina",2006,"January","mascara","midwest",307,638,519
"Jen",2004,"June","eye liner","midwest",135,396,287
"Colleen",2006,"December","lip gloss","west",244,516,419
"Colleen",2006,"May","lip gloss","west",165,426,361
"Cristina",2004,"October","mascara","midwest",84,370,303
"Emilee",2004,"April","foundation","midwest",383,585,465
"Ashley",2004,"June","eye liner","west",74,401,324
"Colleen",2004,"April","mascara","west",323,523,446
"Hallagan",2004,"September","mascara","midwest",153,380,245
"Jen",2006,"November","eye liner","west",75,420,368
"Zaret",2006,"June","foundation","west",56,567,454
"Colleen",2006,"May","foundation","south",162,422,315
"Betsy",2006,"February","eye liner","west",117,484,378
"Cristina",2006,"November","mascara","west",228,663,553
"Hallagan",2006,"January","foundation","south",177,559,409
"Jen",2006,"June","eye liner","west",121,602,520
"Betsy",2005,"June","foundation","midwest",125,505,374
"Hallagan",2005,"June","eye liner","south",156,440,350
"Jen",2006,"September","eye liner","midwest",136,498,382
"Betsy",2004,"April","mascara","midwest",88,514,414
"Hallagan",2005,"October","foundation","south",237,523,454
"Hallagan",2005,"July","eye liner","midwest",119,514,421
"Hallagan",2004,"December","mascara","west",54,489,350
"Jen",2005,"July","mascara","east",103,395,269
"Emilee",2004,"November","lip gloss","south",132,415,323
"Emilee",2006,"November","lip gloss","south",165,494,364
"Ashley",2005,"December","mascara","midwest",155,291,221
"Hallagan",2004,"January","lipstick","south",61,287,207
"Cici",2005,"May","eye liner","south",192,497,447
"Cici",2004,"April","eye liner","south",255,498,444
"Emilee",2006,"June","eye liner","south",235,406,307
"Ashley",2004,"March","eye liner","west",383,505,399
"Emilee",2004,"November","foundation","south",163,372,320
"Zaret",2006,"February","foundation","midwest",146,559,484
"Ashley",2004,"September","mascara","midwest",121,436,328
"Emilee",2006,"February","foundation","south",70,366,311
"Emilee",2005,"November","eye liner","south",38,368,263
"Betsy",2005,"February","mascara","south",216,683,548
"Jen",2004,"December","eye liner","west",93,375,279
"Jen",2005,"July","lip gloss","west",208,538,431
"Cici",2006,"May","foundation","midwest",74,377,282
"Jen",2006,"September","foundation","south",20,440,362
"Hallagan",2006,"January","mascara","south",52,159,98
"Zaret",2004,"July","eye liner","east",167,359,222
"Zaret",2005,"March","eye liner","east",170,464,404
"Zaret",2004,"February","mascara","south",417,591,512
"Emilee",2006,"November","lipstick","west",69,432,342
"Hallagan",2006,"November","eye liner","east",123,360,224
"Betsy",2005,"June","lip gloss","west",100,481,370
"Cristina",2006,"September","foundation","midwest",161,466,380
"Jen",2006,"June","eye liner","west",84,491,386
"Cici",2006,"February","foundation","west",265,551,439
"Colleen",2005,"August","eye liner","midwest",176,325,200
"Cristina",2006,"July","mascara","west",69,304,216
"Betsy",2004,"September","lip gloss","midwest",437,586,468
"Zaret",2006,"November","lip gloss","west",195,476,348
"Jen",2005,"November","mascara","east",117,309,236
"Hallagan",2006,"March","eye liner","east",302,664,541
"Jen",2005,"February","foundation","midwest",109,337,289
"Betsy",2004,"August","lip gloss","midwest",185,478,372
"Hallagan",2004,"February","lipstick","east",337,606,550
"Colleen",2005,"November","eye liner","south",97,450,360
"Jen",2005,"November","foundation","east",151,326,235
"Colleen",2005,"May","foundation","south",342,568,406
"Cristina",2006,"October","lip gloss","east",131,463,401
"Betsy",2004,"November","lipstick","west",150,566,472
"Emilee",2004,"December","foundation","west",98,506,368
"Jen",2005,"October","mascara","south",139,320,220
"Emilee",2005,"June","lip gloss","south",76,511,403
"Jen",2006,"November","eye liner","west",196,507,329
"Hallagan",2006,"December","foundation","west",166,491,430
"Ashley",2006,"December","lip gloss","west",289,499,423
"Betsy",2004,"April","lipstick","midwest",200,354,237
"Emilee",2006,"November","mascara","south",318,448,359
"Emilee",2005,"September","mascara","south",260,503,389
"Betsy",2006,"January","lip gloss","west",57,455,325
"Ashley",2006,"December","foundation","south",153,443,364
"Jen",2004,"October","foundation","south",61,464,375
"Betsy",2005,"October","lip gloss","midwest",104,460,361
"Zaret",2005,"March","lipstick","west",229,636,529
"Betsy",2004,"July","mascara","south",179,446,331
"Jen",2006,"March","lipstick","east",46,471,344
"Jen",2004,"September","eye liner","west",348,638,508
"Emilee",2006,"November","eye liner","east",247,596,433
"Cristina",2004,"March","lip gloss","east",43,453,323
"Betsy",2004,"May","lip gloss","east",20,348,235
"Emilee",2006,"April","foundation","midwest",270,582,487
"Colleen",2004,"June","lipstick","midwest",154,397,297
"Cici",2004,"July","eye liner","east",207,617,515
"Ashley",2005,"June","lip gloss","west",59,406,302
"Ashley",2004,"March","lip gloss","east",204,654,517
"Cici",2004,"November","foundation","midwest",199,339,285
"Ashley",2005,"January","lipstick","east",72,414,315
"Colleen",2004,"April","lip gloss","midwest",246,585,464
"Jen",2004,"November","mascara","west",80,467,386
"Ashley",2005,"December","lipstick","west",330,552,462
"Hallagan",2004,"January","foundation","midwest",608,555,463
"Betsy",2006,"December","mascara","east",143,281,227
"Cristina",2006,"February","foundation","west",229,517,406
"Jen",2006,"June","lip gloss","east",71,580,480
"Hallagan",2005,"February","eye liner","west",528,491,417
"Ashley",2005,"January","lip gloss","west",126,429,380
"Jen",2006,"February","lipstick","west",98,387,280
"Cici",2004,"September","foundation","south",191,441,294
"Cristina",2006,"November","mascara","south",140,475,381
"Ashley",2006,"October","lip gloss","east",202,519,421
"Cristina",2004,"November","eye liner","east",120,468,373
"Zaret",2004,"August","lip gloss","midwest",139,330,236
"Jen",2005,"November","lip gloss","south",286,589,453
"Colleen",2005,"August","mascara","south",241,499,422
"Cristina",2004,"November","lipstick","west",307,494,444
"Zaret",2005,"October","foundation","west",118,390,280
"Hallagan",2006,"December","lip gloss","west",173,417,357
"Jen",2004,"February","foundation","south",99,373,298
"Cristina",2006,"March","lip gloss","west",66,529,380
"Betsy",2004,"July","mascara","west",116,456,332
"Hallagan",2005,"July","mascara","midwest",124,373,313
"Betsy",2004,"December","lipstick","west",40,501,394
"Zaret",2006,"December","foundation","south",193,375,260
"Betsy",2005,"December","eye liner","west",291,575,440
"Cristina",2004,"July","mascara","south",215,580,480
"Colleen",2006,"January","mascara","south",73,522,390
"Zaret",2005,"March","foundation","midwest",286,478,445
"Hallagan",2005,"January","lip gloss","east",21,636,532
"Cristina",2004,"November","eye liner","west",192,413,304
"Betsy",2004,"April","eye liner","west",118,479,354
"Cristina",2005,"May","foundation","midwest",223,564,475
"Colleen",2005,"July","foundation","east",387,646,602
"Jen",2004,"April","lip gloss","west",229,498,366
"Colleen",2005,"February","lip gloss","south",306,569,491
"Colleen",2006,"May","foundation","west",133,437,352
"Betsy",2006,"November","foundation","east",113,421,334
"Cristina",2005,"February","eye liner","west",268,560,456
"Cici",2006,"April","foundation","west",327,706,557
"Cici",2006,"May","eye liner","south",135,402,304
"Cristina",2004,"November","lip gloss","south",423,560,476
"Colleen",2005,"October","lip gloss","east",93,477,362
"Betsy",2006,"January","eye liner","south",127,542,478
"Cristina",2005,"January","eye liner","midwest",309,546,473
"Hallagan",2006,"July","mascara","west",50,415,335
"Cici",2004,"May","lip gloss","west",151,328,216
"Betsy",2004,"November","eye liner","east",170,444,353
"Ashley",2004,"March","eye liner","south",310,559,477
"Cici",2005,"October","mascara","east",265,516,345
"Cristina",2004,"April","lipstick","south",236,484,357
"Cristina",2005,"July","eye liner","midwest",48,446,324
"Colleen",2005,"March","mascara","south",279,492,375
"Emilee",2006,"November","mascara","east",207,467,358
"Cici",2006,"December","lipstick","south",219,494,394
"Jen",2004,"May","lip gloss","west",185,335,226
"Cici",2004,"April","lip gloss","west",161,350,296
"Colleen",2006,"December","foundation","south",273,640,508
"Colleen",2005,"June","mascara","east",158,454,361
"Jen",2005,"January","lipstick","east",181,413,288
"Colleen",2004,"March","lipstick","east",332,647,544
"Cristina",2005,"June","mascara","east",178,464,371
"Betsy",2004,"February","mascara","west",185,448,376
"Emilee",2005,"August","eye liner","east",180,447,335
"Jen",2005,"March","eye liner","west",233,636,491
"Cristina",2005,"July","foundation","south",201,447,391
"Cristina",2004,"July","lipstick","south",198,506,436
"Cici",2004,"February","foundation","midwest",191,417,318
"Ashley",2005,"November","mascara","west",105,365,269
"Cici",2005,"April","foundation","south",271,507,329
"Jen",2006,"October","mascara","midwest",70,533,430
"Betsy",2006,"December","mascara","midwest",193,432,278
"Cristina",2006,"November","mascara","west",85,486,394
"Betsy",2006,"November","lip gloss","west",137,374,337
"Betsy",2005,"October","foundation","east",34,402,273
"Ashley",2005,"December","eye liner","west",75,377,304
"Cici",2005,"December","eye liner","west",150,461,413
"Jen",2005,"February","foundation","west",174,385,268
"Ashley",2006,"October","lip gloss","midwest",82,504,416
"Jen",2005,"May","lip gloss","west",283,642,565
"Cici",2005,"November","eye liner","east",102,256,221
"Cici",2004,"July","lipstick","west",133,474,406
"Colleen",2004,"April","foundation","east",152,492,374
"Cici",2005,"December","mascara","west",107,565,435
"Hallagan",2004,"April","lip gloss","east",240,406,345
"Hallagan",2004,"May","eye liner","south",196,547,474
"Emilee",2006,"March","lip gloss","midwest",194,554,420
"Zaret",2005,"January","mascara","east",243,444,395
"Cristina",2006,"December","mascara","west",222,657,546
"Colleen",2006,"December","mascara","midwest",173,500,382
"Zaret",2004,"October","eye liner","south",78,468,335
"Cristina",2006,"January","lip gloss","east",260,629,544
"Zaret",2005,"June","mascara","south",145,335,279
"Hallagan",2006,"December","foundation","west",71,384,304
"Cici",2006,"March","mascara","south",58,469,374
"Hallagan",2005,"December","lip gloss","east",171,396,319
"Emilee",2006,"August","eye liner","midwest",200,508,409
"Zaret",2004,"January","eye liner","east",45,465,369
"Emilee",2004,"February","lip gloss","midwest",144,447,338
"Jen",2006,"February","lip gloss","south",261,541,414
"Jen",2004,"October","mascara","west",298,528,408
"Emilee",2004,"November","foundation","east",522,576,505
"Cici",2004,"June","eye liner","south",33,361,270
"Colleen",2005,"June","lipstick","west",41,242,177
"Ashley",2004,"May","foundation","south",93,518,407
"Colleen",2006,"January","lip gloss","east",116,369,312
"Jen",2004,"December","lipstick","west",182,442,296
"Betsy",2006,"April","foundation","east",74,411,319
"Hallagan",2004,"November","eye liner","midwest",104,445,296
"Betsy",2006,"June","mascara","south",126,520,453
"Cristina",2005,"April","mascara","midwest",117,361,303
"Zaret",2006,"November","foundation","west",45,562,406
"Cici",2005,"October","mascara","west",117,491,365
"Colleen",2006,"August","eye liner","midwest",105,301,240
"Hallagan",2004,"November","foundation","east",204,545,456
"Betsy",2005,"August","eye liner","midwest",223,546,446
"Jen",2006,"November","foundation","west",132,467,371
"Jen",2006,"November","eye liner","midwest",192,328,252
"Zaret",2006,"November","foundation","south",31,577,486
"Colleen",2006,"November","mascara","east",198,513,378
"Jen",2006,"March","mascara","west",98,556,426
"Ashley",2006,"November","lip gloss","south",77,551,412
"Zaret",2006,"May","eye liner","east",71,438,343
"Emilee",2004,"January","eye liner","midwest",135,503,373
"Hallagan",2006,"January","foundation","east",57,456,318
"Ashley",2005,"August","foundation","west",22,425,339
"Jen",2006,"February","foundation","south",200,541,422
"Emilee",2006,"June","eye liner","south",194,420,333
"Cristina",2006,"March","foundation","west",177,426,327
"Zaret",2004,"February","lip gloss","east",167,402,341
"Zaret",2006,"December","eye liner","west",222,618,459
"Jen",2004,"September","foundation","midwest",173,385,299
"Cristina",2004,"November","mascara","west",128,570,432
"Hallagan",2004,"March","foundation","east",265,487,367
"Ashley",2006,"October","lip gloss","south",55,553,456
"Cici",2004,"August","eye liner","east",265,419,335
"Zaret",2005,"June","foundation","west",182,412,320
"Cristina",2004,"April","lip gloss","midwest",221,535,452
"Jen",2004,"June","eye liner","west",185,231,156
"Ashley",2006,"November","lipstick","south",195,496,379
"Emilee",2004,"November","foundation","west",209,521,453
"Cici",2004,"November","foundation","midwest",173,552,441
"Jen",2006,"July","lipstick","east",115,388,273
"Cici",2005,"November","mascara","south",273,346,322
"Emilee",2006,"May","mascara","east",120,448,322
"Betsy",2005,"December","eye liner","west",276,405,340
"Colleen",2004,"April","foundation","east",86,344,287
"Hallagan",2004,"August","lip gloss","east",141,473,357
"Jen",2006,"December","mascara","west",214,585,449
"Cristina",2005,"June","lip gloss","west",191,373,263
"Cristina",2004,"February","lip gloss","south",116,571,464
"Betsy",2005,"September","eye liner","south",185,440,307
"Hallagan",2005,"June","mascara","midwest",94,567,481
"Ashley",2005,"August","eye liner","midwest",116,366,335
"Betsy",2005,"August","mascara","midwest",16,360,299
"Colleen",2004,"February","foundation","midwest",133,345,279
"Cici",2004,"October","lipstick","midwest",237,467,345
"Zaret",2006,"March","mascara","west",113,495,399
"Emilee",2004,"March","foundation","midwest",99,446,337
"Cici",2006,"July","eye liner","east",188,355,313
"Emilee",2004,"February","foundation","south",129,384,239
"Cici",2006,"May","mascara","south",40,432,377
"Betsy",2006,"November","eye liner","south",177,449,390
"Ashley",2004,"November","eye liner","east",418,519,394
"Emilee",2005,"July","lipstick","midwest",169,540,419
"Cici",2006,"July","lip gloss","west",198,313,246
"Jen",2006,"December","mascara","west",201,692,585
"Emilee",2005,"January","mascara","west",38,409,286
"Betsy",2004,"September","lip gloss","west",180,385,281
"Colleen",2005,"February","lipstick","west",354,553,452
"Ashley",2006,"September","foundation","south",218,609,495
"Emilee",2005,"April","mascara","east",77,342,269
"Cristina",2004,"November","mascara","midwest",230,602,514
"Emilee",2005,"July","lipstick","midwest",67,485,392
"Zaret",2005,"November","mascara","east",244,583,488
"Cici",2006,"August","foundation","midwest",72,579,436
"Zaret",2004,"November","eye liner","midwest",419,462,396
"Jen",2005,"March","foundation","east",27,460,350
"Colleen",2004,"November","mascara","midwest",480,589,520
"Colleen",2004,"November","eye liner","south",207,602,502
"Betsy",2006,"February","lip gloss","west",319,499,349
"Emilee",2006,"November","mascara","west",125,443,357
"Colleen",2004,"July","lipstick","south",265,576,494
"Colleen",2005,"December","lipstick","midwest",91,517,386
"Cici",2005,"November","eye liner","south",55,564,453
"Cristina",2004,"December","lipstick","west",264,494,423
"Cristina",2004,"June","lip gloss","south",76,474,353
"Colleen",2004,"December","foundation","west",23,407,298
"Emilee",2006,"August","lip gloss","west",129,331,267
"Emilee",2004,"January","eye liner","midwest",260,494,381
"Colleen",2004,"November","lip gloss","midwest",132,212,138
"Betsy",2006,"December","foundation","east",207,459,399
"Jen",2006,"October","foundation","east",83,452,375
"Emilee",2006,"November","mascara","midwest",150,537,418
"Hallagan",2005,"August","lipstick","west",199,370,233
"Zaret",2005,"August","eye liner","south",296,600,508
"Ashley",2005,"November","lip gloss","midwest",81,494,298
"Jen",2006,"June","eye liner","midwest",111,328,195
"Betsy",2005,"November","foundation","east",116,387,267
"Ashley",2004,"October","eye liner","midwest",257,684,532
"Emilee",2005,"December","lip gloss","west",259,612,500
"Zaret",2004,"November","foundation","south",358,579,513
"Emilee",2006,"July","mascara","west",81,575,441
"Jen",2005,"April","lip gloss","east",142,441,305
"Cici",2006,"July","lip gloss","west",273,533,436
"Ashley",2006,"June","eye liner","east",276,520,413
"Cristina",2005,"August","foundation","south",145,419,301
"Zaret",2006,"July","lip gloss","east",232,474,397
"Emilee",2006,"May","eye liner","west",194,462,359
"Jen",2006,"July","lipstick","midwest",130,428,386
"Emilee",2006,"January","mascara","midwest",230,554,417
"Zaret",2005,"November","lip gloss","east",83,402,284
"Jen",2005,"May","foundation","south",155,456,337
"Betsy",2005,"April","lipstick","south",21,535,351
"Ashley",2004,"November","mascara","west",158,491,446
"Jen",2006,"January","foundation","south",167,565,449
"Cici",2005,"December","lip gloss","east",295,506,461
"Cici",2004,"November","lip gloss","south",247,568,479
"Jen",2005,"November","lip gloss","midwest",223,537,408
"Zaret",2004,"March","foundation","west",431,497,435
"Cici",2004,"September","mascara","south",288,633,505
"Zaret",2005,"November","foundation","east",219,566,434
"Cici",2006,"January","foundation","west",48,453,336
"Jen",2005,"January","mascara","midwest",87,453,335
"Zaret",2004,"April","lipstick","east",184,534,438
"Emilee",2006,"March","lip gloss","south",105,497,385
"Cristina",2006,"July","lipstick","south",208,633,536
"Ashley",2005,"November","foundation","west",159,460,349
"Ashley",2004,"July","lip gloss","east",144,401,316
"Hallagan",2004,"February","lip gloss","west",123,365,288
"Colleen",2005,"January","lipstick","west",293,621,540
"Betsy",2005,"July","foundation","south",220,664,513
"Zaret",2004,"February","eye liner","east",147,472,377
"Jen",2005,"November","eye liner","east",210,540,421
"Betsy",2004,"September","lip gloss","west",175,449,340
"Emilee",2005,"February","lipstick","south",132,373,277
"Cici",2004,"August","eye liner","south",216,546,447
"Colleen",2004,"January","lipstick","midwest",114,574,475
"Ashley",2006,"November","lip gloss","east",43,517,417
"Cristina",2004,"June","foundation","west",102,356,229
"Ashley",2004,"October","lip gloss","south",357,493,370
"Colleen",2004,"June","foundation","west",153,409,271
"Cristina",2006,"April","mascara","south",13,496,395
"Cristina",2006,"February","eye liner","south",135,475,373
"Zaret",2006,"November","mascara","east",105,476,414
"Zaret",2005,"January","eye liner","midwest",167,445,328
"Jen",2005,"March","foundation","south",348,464,324
"Ashley",2005,"November","lip gloss","east",265,494,344
"Emilee",2004,"May","mascara","midwest",196,377,241
"Ashley",2005,"April","lip gloss","south",238,576,492
"Emilee",2006,"September","lip gloss","east",353,572,493
"Cristina",2006,"December","eye liner","west",90,350,273
"Ashley",2004,"January","mascara","south",179,400,336
"Colleen",2005,"August","mascara","midwest",139,361,266
"Hallagan",2006,"September","foundation","west",117,384,286
"Betsy",2005,"August","eye liner","east",211,480,357
"Zaret",2006,"July","lip gloss","south",54,639,507
"Cristina",2004,"November","foundation","midwest",150,297,215
"Zaret",2006,"April","lipstick","west",106,371,275
"Betsy",2005,"February","lip gloss","east",115,426,338
"Betsy",2006,"May","eye liner","south",142,252,186
"Emilee",2006,"February","mascara","south",117,458,353
"Cici",2006,"February","mascara","east",106,450,368
"Cici",2006,"August","mascara","east",132,515,369
"Ashley",2006,"October","lipstick","east",174,413,307
"Emilee",2004,"September","mascara","east",208,578,470
"Zaret",2006,"September","foundation","south",156,511,379
"Cici",2006,"February","foundation","west",176,406,318
"Zaret",2005,"May","mascara","west",166,346,281
"Emilee",2006,"February","lip gloss","midwest",122,427,320
"Zaret",2006,"June","mascara","south",347,382,280
"Colleen",2005,"August","foundation","midwest",201,418,299
"Ashley",2005,"March","mascara","midwest",228,679,587
"Hallagan",2006,"February","lip gloss","south",91,200,115
"Emilee",2006,"December","foundation","east",158,382,250
"Hallagan",2006,"August","foundation","west",46,525,450
"Betsy",2005,"May","lipstick","west",94,297,214
"Emilee",2006,"December","lip gloss","west",135,496,352
"Betsy",2005,"May","lip gloss","west",196,458,322
"Jen",2004,"May","eye liner","east",172,424,278
"Colleen",2004,"February","eye liner","south",114,384,356
"Cristina",2004,"January","eye liner","midwest",156,456,356
"Jen",2005,"November","eye liner","west",207,545,430
"Zaret",2004,"April","lip gloss","west",109,369,285
"Colleen",2004,"May","foundation","south",303,609,492
"Betsy",2006,"February","lip gloss","east",166,474,333
"Colleen",2004,"September","eye liner","west",166,490,400
"Emilee",2004,"November","lip gloss","west",183,554,394
"Emilee",2005,"November","eye liner","east",32,415,269
"Ashley",2005,"November","eye liner","west",201,636,555
"Cristina",2005,"May","lip gloss","east",159,431,322
"Cristina",2004,"February","foundation","midwest",204,511,467
"Colleen",2004,"October","lip gloss","south",169,541,427
"Zaret",2004,"December","eye liner","west",261,502,349
"Zaret",2006,"April","foundation","east",114,421,320
"Emilee",2004,"July","mascara","west",96,532,418
"Ashley",2004,"March","lipstick","west",73,637,545
"Cici",2004,"April","foundation","east",310,609,482
"Ashley",2005,"December","eye liner","east",236,460,376
"Betsy",2006,"April","mascara","midwest",68,455,379
"Zaret",2006,"December","eye liner","west",59,417,362
"Colleen",2004,"December","mascara","midwest",372,617,502
"Ashley",2005,"November","lip gloss","west",194,516,323
"Colleen",2005,"October","lip gloss","midwest",232,552,463
"Cici",2005,"December","eye liner","midwest",263,448,379
"Ashley",2006,"February","foundation","midwest",300,531,445
"Cici",2006,"October","eye liner","east",234,557,430
"Jen",2006,"August","eye liner","south",186,387,316
"Zaret",2004,"August","foundation","east",361,633,463
"Hallagan",2004,"September","lipstick","midwest",301,563,464
"Emilee",2006,"March","mascara","south",253,548,410
"Colleen",2005,"August","foundation","east",52,484,348
"Emilee",2006,"December","lipstick","west",117,488,377
"Betsy",2005,"September","eye liner","south",108,378,301
"Cici",2005,"November","foundation","south",88,466,394
"Cici",2005,"July","eye liner","south",247,582,445
"Hallagan",2004,"September","lipstick","west",215,481,368
"Colleen",2006,"March","lip gloss","midwest",137,519,408
"Cici",2006,"February","eye liner","west",68,453,345
"Cici",2005,"November","lipstick","east",312,497,368
"Hallagan",2005,"November","mascara","west",297,563,455
"Cici",2005,"December","mascara","west",125,417,296
"Betsy",2004,"February","mascara","west",148,300,207
"Hallagan",2006,"December","lip gloss","midwest",207,598,497
"Emilee",2006,"September","eye liner","west",147,550,491
"Emilee",2005,"April","foundation","east",61,358,289
"Betsy",2004,"August","foundation","south",69,487,372
"Cristina",2006,"October","mascara","south",51,465,341
"Cici",2004,"September","eye liner","midwest",120,429,310
"Emilee",2005,"November","lipstick","midwest",98,488,477
"Cristina",2004,"June","eye liner","west",74,450,360
"Colleen",2006,"July","mascara","west",178,458,306
"Jen",2006,"September","foundation","west",237,532,468
"Cici",2004,"March","foundation","west",121,411,354
"Zaret",2006,"April","eye liner","east",162,391,270
"Cristina",2004,"September","mascara","midwest",284,556,443
"Cici",2004,"February","lip gloss","midwest",126,469,350
"Cici",2005,"February","lipstick","south",193,703,539
"Emilee",2005,"November","lip gloss","south",40,526,411
"Colleen",2004,"November","lip gloss","east",111,493,356
"Betsy",2004,"December","mascara","midwest",80,612,502
"Cici",2005,"November","eye liner","south",104,375,274
"Colleen",2006,"December","foundation","west",171,524,384
"Hallagan",2005,"June","lip gloss","south",92,340,272
"Emilee",2004,"January","eye liner","south",126,412,326
"Jen",2005,"July","lipstick","west",85,376,293
"Betsy",2004,"November","lip gloss","east",142,366,276
"Colleen",2004,"September","foundation","east",129,492,376
"Betsy",2004,"May","mascara","midwest",418,570,411
"Betsy",2004,"March","lip gloss","south",170,583,497
"Hallagan",2006,"March","foundation","east",150,291,217
"Cristina",2004,"March","eye liner","east",273,515,439
"Jen",2005,"December","eye liner","south",134,590,515
"Zaret",2004,"April","lip gloss","east",193,477,323
"Emilee",2005,"December","eye liner","west",104,489,398
"Jen",2005,"October","lipstick","midwest",270,572,466
"Betsy",2006,"December","foundation","west",82,443,273
"Jen",2005,"March","foundation","east",149,474,377
"Cici",2005,"October","foundation","west",74,444,308
"Colleen",2006,"June","mascara","south",169,306,229
"Hallagan",2004,"July","lip gloss","south",259,488,419
"Hallagan",2004,"November","foundation","south",182,412,303
"Hallagan",2004,"November","mascara","west",380,401,313
"Jen",2005,"August","lip gloss","south",197,375,229
"Betsy",2006,"November","lip gloss","east",81,431,336
"Cici",2005,"October","mascara","midwest",213,566,456
"Jen",2004,"June","lip gloss","east",37,430,361
"Hallagan",2005,"November","foundation","midwest",206,550,427
"Ashley",2006,"August","foundation","east",101,526,468
"Emilee",2004,"April","foundation","south",189,416,330
"Colleen",2005,"June","foundation","south",211,544,440
"Cici",2006,"April","eye liner","east",107,451,308
"Cristina",2006,"November","foundation","west",127,403,297
"Emilee",2005,"December","eye liner","west",349,443,309
"Ashley",2004,"September","lip gloss","west",112,357,294
"Colleen",2005,"April","eye liner","south",107,445,328
"Jen",2005,"November","foundation","south",457,500,435
"Colleen",2005,"April","foundation","midwest",149,367,286
"Ashley",2004,"January","mascara","midwest",73,403,334
"Zaret",2004,"December","lip gloss","west",276,608,553
"Ashley",2006,"November","foundation","south",163,508,393
"Zaret",2004,"August","foundation","south",300,485,368
"Colleen",2006,"July","mascara","south",146,374,328
"Betsy",2004,"December","lip gloss","midwest",136,439,364
"Ashley",2004,"November","lip gloss","south",225,548,432
"Betsy",2004,"April","eye liner","west",138,472,389
"Emilee",2004,"November","eye liner","west",84,483,354
"Cristina",2005,"May","foundation","midwest",50,406,330
"Cristina",2006,"November","lip gloss","midwest",592,575,470
"Emilee",2006,"March","lipstick","west",94,590,452
"Colleen",2006,"November","foundation","midwest",73,431,269
"Cici",2005,"February","mascara","midwest",325,796,693
"Zaret",2005,"November","lip gloss","east",60,444,378
"Cici",2006,"March","mascara","west",105,428,322
"Colleen",2004,"November","lip gloss","south",361,515,375
"Emilee",2005,"November","lipstick","west",117,452,303
"Betsy",2005,"November","mascara","south",309,487,401
"Colleen",2004,"March","lipstick","midwest",200,337,259
"Hallagan",2005,"March","eye liner","west",283,546,449
"Betsy",2005,"February","mascara","west",48,516,440
"Colleen",2006,"March","mascara","east",156,503,390
"Ashley",2005,"August","mascara","east",460,498,417
"Hallagan",2006,"November","eye liner","east",89,434,302
"Zaret",2004,"November","lip gloss","south",165,360,282
"Jen",2005,"December","foundation","east",73,601,543
"Cristina",2004,"April","foundation","west",205,608,538
"Betsy",2006,"July","mascara","east",144,489,390
"Cici",2004,"December","eye liner","east",233,543,475
"Jen",2006,"November","mascara","west",179,347,333
"Cici",2004,"February","mascara","west",268,617,514
"Betsy",2004,"February","eye liner","south",475,549,442
"Zaret",2004,"October","foundation","west",96,575,418
"Colleen",2006,"February","lip gloss","south",201,574,432
"Cici",2006,"March","eye liner","east",268,566,483
